### NIRSPEC Brown Dwarf Spectroscopic Survey (BDSS)
### McLean et al. 2007, ApJ, 658. 1217
### Please cite the above reference if you use  
### or display this data in your publication.
###     2MASS 0036 -- NIRSPEC-3 Filter, dispersion order 62
### lambda (microns)   Flambda (Normalized)
       1.2365666      0.67996638
       1.2365842      0.67094236
       1.2366016      0.65478353
       1.2366190      0.64649676
       1.2366365      0.62322213
       1.2366540      0.61481906
       1.2366716      0.62968076
       1.2366891      0.62653647
       1.2367066      0.62313984
       1.2367241      0.63732938
       1.2367416      0.62961640
       1.2367591      0.63054637
       1.2367766      0.62860779
       1.2367941      0.63475814
       1.2368116      0.63952322
       1.2368291      0.63748956
       1.2368467      0.65967221
       1.2368642      0.67653429
       1.2368817      0.69101565
       1.2368992      0.71360021
       1.2369166      0.72858661
       1.2369342      0.74816803
       1.2369517      0.75832353
       1.2369692      0.76345431
       1.2369867      0.76860703
       1.2370043      0.76925432
       1.2370218      0.76422594
       1.2370393      0.76139542
       1.2370568      0.76105531
       1.2370742      0.75532845
       1.2370918      0.75309036
       1.2371093      0.77487879
       1.2371268      0.79339419
       1.2371443      0.79360630
       1.2371619      0.84086576
       1.2371794      0.82681555
       1.2371969      0.77173011
       1.2372143      0.76827424
       1.2372318      0.77197147
       1.2372494      0.77378169
       1.2372669      0.78007539
       1.2372844      0.76504145
       1.2373019      0.76708571
       1.2373195      0.76719177
       1.2373370      0.75946086
       1.2373545      0.74602869
       1.2373719      0.73687192
       1.2373894      0.71997034
       1.2374070      0.71387302
       1.2374245      0.69970140
       1.2374420      0.69038628
       1.2374595      0.67314132
       1.2374770      0.65496894
       1.2374946      0.63977957
       1.2375120      0.62291347
       1.2375295      0.60153390
       1.2375470      0.59210615
       1.2375645      0.59220489
       1.2375821      0.58871903
       1.2375996      0.58318672
       1.2376171      0.58209400
       1.2376346      0.57318408
       1.2376522      0.56219954
       1.2376696      0.55868918
       1.2376871      0.55089794
       1.2377046      0.54641335
       1.2377221      0.54353163
       1.2377397      0.54152211
       1.2377572      0.54138790
       1.2377747      0.55444340
       1.2377922      0.55751638
       1.2378098      0.57972317
       1.2378271      0.57717460
       1.2378446      0.48106014
       1.2378621      0.59233398
       1.2378796      0.61093862
       1.2378972      0.62258581
       1.2379147      0.62939698
       1.2379322      0.61753402
       1.2379497      0.64408606
       1.2379673      0.66315989
       1.2379847      0.66953551
       1.2380022      0.67491497
       1.2380197      0.68258151
       1.2380372      0.68509826
       1.2380548      0.69130127
       1.2380723      0.68277240
       1.2380898      0.66570590
       1.2381073      0.66063034
       1.2381247      0.66867465
       1.2381423      0.67057045
       1.2381598      0.66280882
       1.2381773      0.66450640
       1.2381948      0.66966899
       1.2382124      0.66664538
       1.2382299      0.66935925
       1.2382474      0.67154979
       1.2382649      0.68092086
       1.2382823      0.67909455
       1.2382999      0.69598333
       1.2383174      0.69954744
       1.2383349      0.71315954
       1.2383524      0.71820182
       1.2383699      0.71428553
       1.2383875      0.72886491
       1.2384050      0.71927222
       1.2384224      0.72144229
       1.2384399      0.72834159
       1.2384574      0.72662975
       1.2384750      0.72387017
       1.2384925      0.72249368
       1.2385100      0.70257142
       1.2385275      0.67920426
       1.2385451      0.69431061
       1.2385626      0.67218721
       1.2385800      0.65095172
       1.2385975      0.71190012
       1.2386150      0.71190012
       1.2386326      0.71190012
       1.2386501      0.71190012
       1.2386676      0.71190012
       1.2386851      0.71190012
       1.2387027      0.71190012
       1.2387202      0.71190012
       1.2387376      0.71190012
       1.2387551      0.71190012
